term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2022-23 Term 1 / 1;ACCT009;Ovsea Proj Expc (Acctg in AS);SMU-X: Jakarta;G1;1;MON;12:00;15:15;SOA Seminar Room 2-3;YUANTO KUSNADI;1;15/08/2022;20/11/2022;1990;
2022-23 Term 1 / 1;ACCT009;Ovsea Proj Expc (Acctg in AS);SMU-X: Jakarta;G1;1;MON;12:00;15:15;SOA Seminar Room 2-3;KEVIN LEE;2;15/08/2022;20/11/2022;1990;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G1;1;MON;12:00;15:15;SOA Seminar Room 3-4;RICHARD CROWLEY;1;15/08/2022;20/11/2022;1088;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G10;1;TUE;15:30;18:45;SOA Seminar Room 3-1;DAVID SAMUEL;1;15/08/2022;20/11/2022;1474;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G11;1;WED;08:15;11:30;SOA Seminar Room 3-1;DAVID SAMUEL;1;15/08/2022;20/11/2022;1096;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G12;1;MON;12:00;15:15;SOA Seminar Room 1-1;CHARMAYNE HIGHFIELD;1;15/08/2022;20/11/2022;1097;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G13;1;FRI;08:15;11:30;SOA Seminar Room 1-1;CHARLES CHEN;1;15/08/2022;20/11/2022;1785;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G2;1;MON;15:30;18:45;SOA Seminar Room 3-4;RICHARD CROWLEY;1;15/08/2022;20/11/2022;1089;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G3;1;TUE;15:30;18:45;SOA Seminar Room 3-2;YIN WANG;1;15/08/2022;20/11/2022;1787;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G4;1;WED;15:30;18:45;SOA Seminar Room 1-1;YIN WANG;1;15/08/2022;20/11/2022;1090;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G5;1;THU;15:30;18:45;SOA Seminar Room 2-3;YIN WANG;1;15/08/2022;20/11/2022;1091;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G6;1;WED;15:30;18:45;SOA Seminar Room 3-2;LEE, YUN;1;15/08/2022;20/11/2022;1092;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G7;1;THU;12:00;15:15;SOA Seminar Room 3-2;LEE, YUN;1;15/08/2022;20/11/2022;1093;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G8;1;THU;15:30;18:45;SOA Seminar Room 3-2;LEE, YUN;1;15/08/2022;20/11/2022;1094;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;G9;1;TUE;08:15;11:30;SOA Seminar Room 3-1;DAVID SAMUEL;1;15/08/2022;20/11/2022;1095;
2022-23 Term 1 / 1;ACCT101;Financial Accounting;;SG81;1;;;;;CHARMAYNE HIGHFIELD;1;15/08/2022;20/11/2022;2606;
