term;course_code;title;topic;section;meet;day;start_time;end_time;venue;instructor;num_instructors;start_date;end_date;class_number;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G1;1;MON;12:00;15:15;SOA Seminar Room 3-5;YIN WANG;1;14/08/2023;19/11/2023;1089;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G10;1;MON;08:15;11:30;SOA Seminar Room 1-1;CHARMAYNE HIGHFIELD;1;14/08/2023;19/11/2023;1436;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G11;1;MON;12:00;15:15;SOA Seminar Room 1-1;CHARMAYNE HIGHFIELD;1;14/08/2023;19/11/2023;1097;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G12;1;FRI;08:15;11:30;SOA Seminar Room 2-3;CHUA TESS;1;14/08/2023;19/11/2023;1098;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G13;1;MON;15:30;18:45;SOA Seminar Room 2-5;LIN PENGKAI;1;14/08/2023;19/11/2023;2543;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G14;1;TUE;15:30;18:45;SOA Seminar Room 1-2;LIN PENGKAI;1;14/08/2023;19/11/2023;2544;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G2;1;MON;15:30;18:45;SOA Seminar Room 3-5;YIN WANG;1;14/08/2023;19/11/2023;1090;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G3;1;THU;15:30;18:45;SOA Seminar Room 2-3;LEE, YUN;1;14/08/2023;19/11/2023;1682;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G4;1;FRI;12:00;15:15;SOA Seminar Room 2-3;LEE, YUN;1;14/08/2023;19/11/2023;1091;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G5;1;TUE;08:15;11:30;SOA Seminar Room 2-3;DAVID SAMUEL;1;14/08/2023;19/11/2023;1092;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G6;1;TUE;15:30;18:45;SOA Seminar Room 3-3;DAVID SAMUEL;1;14/08/2023;19/11/2023;1093;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G7;1;TUE;08:15;11:30;SOA Seminar Room 3-5;CHARMAYNE HIGHFIELD;1;14/08/2023;19/11/2023;1094;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G8;1;THU;08:15;11:30;SOA Seminar Room 3-4;CHUA TESS;1;14/08/2023;19/11/2023;1095;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;G9;1;THU;12:00;15:15;SOA Seminar Room 3-4;CHARLES CHEN;1;14/08/2023;19/11/2023;1096;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;SG82;1;;;;;CHARLES CHEN;1;14/08/2023;19/11/2023;2590;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;SG83;1;;;;;GRACE FAN;1;14/08/2023;19/11/2023;2678;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;SG84;1;;;;;CHARMAYNE HIGHFIELD;1;14/08/2023;17/11/2023;2683;
2023-24 Term 1 / 1;ACCT101;Financial Accounting;;SG91;1;;;;;LEE, YUN;1;14/08/2023;19/11/2023;2612;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G1;1;TUE;08:15;11:30;SOA Seminar Room 1-1;WONG SUAY PENG;1;14/08/2023;19/11/2023;1099;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G10;1;MON;12:00;15:15;SOA Seminar Room 2-3;FANG BINGXU;1;14/08/2023;19/11/2023;1232;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G11;1;TUE;12:00;15:15;SOA Seminar Room 2-1;FANG BINGXU;1;14/08/2023;19/11/2023;1280;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G12;1;THU;19:00;22:15;SOA Seminar Room 2-3;MICHELLE LIM SI JIA;1;14/08/2023;19/11/2023;1686;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G13;1;TUE;19:00;22:15;SOA Seminar Room 2-3;TONG YI LIN, EILEEN;1;14/08/2023;19/11/2023;1847;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G2;1;TUE;12:00;15:15;SOA Seminar Room 1-1;WONG SUAY PENG;1;14/08/2023;19/11/2023;1100;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G3;1;WED;12:00;15:15;SOA Seminar Room 1-1;WONG SUAY PENG;1;14/08/2023;19/11/2023;1101;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G4;1;THU;08:15;11:30;SOA Seminar Room 1-1;WONG SUAY PENG;1;14/08/2023;19/11/2023;1102;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G5;1;THU;12:00;15:15;SOA Seminar Room 1-1;WONG SUAY PENG;1;14/08/2023;19/11/2023;1103;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G6;1;WED;08:15;11:30;SOA Seminar Room 3-4;KELLY NGO;1;14/08/2023;19/11/2023;1104;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G7;1;WED;15:30;18:45;SOA Seminar Room 1-1;KELLY NGO;1;14/08/2023;19/11/2023;1105;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G8;1;MON;15:30;18:45;SOA Seminar Room 3-2;LOH WEI TING;1;14/08/2023;19/11/2023;1106;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;G9;1;TUE;15:30;18:45;SOA Seminar Room 3-2;LOH WEI TING;1;14/08/2023;19/11/2023;1208;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;SG81;1;;;;;KELLY NGO;1;14/08/2023;19/11/2023;2578;
2023-24 Term 1 / 1;ACCT102;Management Accounting;;SG82;1;;;;;WONG SUAY PENG;1;14/08/2023;19/11/2023;2599;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G1;1;MON;12:00;15:15;SOA Seminar Room 3-3;CHANG, HYE SUN;1;14/08/2023;19/11/2023;1107;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G2;1;MON;15:30;18:45;SOA Seminar Room 3-3;CHANG, HYE SUN;1;14/08/2023;19/11/2023;1108;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G3;1;TUE;12:00;15:15;SOA Seminar Room 3-2;CHANG, HYE SUN;1;14/08/2023;19/11/2023;1109;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G4;1;WED;12:00;15:15;SOA Seminar Room 2-5;SAMUEL TAN;1;14/08/2023;19/11/2023;1110;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G5;1;WED;15:30;18:45;SOA Seminar Room 2-5;SAMUEL TAN;1;14/08/2023;19/11/2023;1462;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G6;1;THU;08:15;11:30;SOA Seminar Room 3-5;KELLY NGO;1;14/08/2023;19/11/2023;1463;
2023-24 Term 1 / 1;ACCT111;Financial Accounting;;G7;1;THU;15:30;18:45;SOA Seminar Room 3-5;KELLY NGO;1;14/08/2023;19/11/2023;1464;
2023-24 Term 1 / 1;ACCT201;Corp Reporting & Fin Analysis;;G1;1;THU;08:15;11:30;SOA Seminar Room 2-3;YOUNG JUN CHO;1;14/08/2023;19/11/2023;1111;
2023-24 Term 1 / 1;ACCT201;Corp Reporting & Fin Analysis;;G2;1;THU;15:30;18:45;SOA Seminar Room 2-1;YOUNG JUN CHO;1;14/08/2023;19/11/2023;1112;
2023-24 Term 1 / 1;ACCT201;Corp Reporting & Fin Analysis;;G3;1;FRI;08:15;11:30;SOA Seminar Room 3-2;CHARLES CHEN;1;14/08/2023;19/11/2023;1267;
2023-24 Term 1 / 1;ACCT201;Corp Reporting & Fin Analysis;;G4;1;FRI;12:00;15:15;SOA Seminar Room 3-2;CHARLES CHEN;1;14/08/2023;19/11/2023;1562;
2023-24 Term 1 / 1;ACCT201;Corp Reporting & Fin Analysis;;SG81;1;;;;;CHEN CHIH-YING;1;14/08/2023;19/11/2023;2675;
2023-24 Term 1 / 1;ACCT221;Accounting Information Systems;;G1;1;TUE;12:00;15:15;SOA Seminar Room 3-4;SEOW POH SUN;1;14/08/2023;19/11/2023;1113;
